MATCH_DATE;MATCH;LEVEL;URL_EPITHET
26-02-2022;Omloop het Nieuwsblad;1;omloop-het-nieuwsblad
27-02-2022;Kuurne-Brussel-Kuurne;0.5;kuurne-brussel-kuurne
27-02-2022;Drome Classic;0.5;la-drome-classic
05-03-2022;Strade Bianche;1;strade-bianche
16-03-2022;Milaan - Turijn;0.5;milano-torino
19-03-2022;Milaan - San Remo;1;milano-sanremo
23-03-2022;Minerva Classic Brugge-De Panne;1;oxyclean-classic-brugge-de-panne
25-03-2022;E3 SaxoBank Classic;1;e3-harelbeke
27-03-2022;Gent-Wevelgem in Flanders Fields;1;gent-wevelgem
27-03-2022;GP Industria;0.5;gp-industria-artigianato
30-03-2022;Dwars door Vlaanderen;1;dwars-door-vlaanderen
02-04-2022;Gran Premio Miguel Indurain;0.5;gp-miguel-indurain
03-04-2022;Ronde van Vlaanderen;1;ronde-van-vlaanderen
06-04-2022;Scheldeprijs;0.5;scheldeprijs
10-04-2022;Amstel Gold Race;1;amstel-gold-race
13-04-2022;Brabantse Pijl;0.5;brabantse-pijl
17-04-2022;Parijs - Roubaix;1;paris-roubaix
20-04-2022;Waalse Pijl;1;la-fleche-wallone
24-04-2022;Luik - Bastenaken - Luik;1;liege-bastogne-liege
01-05-2022;Eschborn - Frankfurt;1;eschborn-frankfurt
