RIDER;COACH;ROUND;PICK
VAN AERT Wout;PrideoftheSouth;1;1
VAN DER POEL Mathieu;El Capitano;1;6
ALAPHILIPPE Julian;crispy;1;3
VAN AVERMAET Greg;EnGCatjuh;1;10
TRENTIN Matteo;EnGCatjuh;1;17
COLBRELLI Sonny;Tjeuke;1;7
KRISTOFF Alexander;Boswachter;4;40
LAMPAERT Yves;Boswachter;1;13
STUYVEN Jasper;Vishandel Makaay;1;8
PIDCOCK Thomas;El Presidente;1;2
MATTHEWS Michael;methodmich;2;23
TURGIS Anthony;EnGCatjuh;3;36
NAESEN Oliver;Jelle;1;11
PHILIPSEN Jasper;Vishandel Makaay;2;19
ASGREEN Kasper;Darkie;1;5
VALVERDE Alejandro;Rellende Rotscholier;1;12
SENECHAL Florian;El Capitano;2;21
LAPORTE Christophe;ErikT;3;35
BENOOT Tiesj;PrideoftheSouth;3;27
DEGENKOLB John;EnGCatjuh;5;61
STYBAR Zdenek;Tjeuke;4;46
VAN BAARLE Dylan;Boswachter;2;14
GILBERT Philippe;Vishandel Makaay;7;86
WOODS Michael;El Presidente;4;51
NIZZOLO Giacomo;ErikT;2;18
ACKERMANN Pascal;crispy;2;24
SAGAN Peter;El Presidente;2;25
VANMARCKE Sep;Boswachter;3;39
POGACAR Tadej;ErikT;1;9
WELLENS Tim;Vishandel Makaay;3;34
BARGUIL Warren;Rellende Rotscholier;6;67
SCHACHMANN Maximilian;El Capitano;3;32
KWIATKOWSKI Michal;EnGCatjuh;6;69
POLITT Nils;Darkie;3;31
ROGLIC Primoz;EnGCatjuh;4;43
KUNG Stefan;methodmich;3;30
TEUNS Dylan;Tjeuke;5;58
CLARKE Simon;Jelle;7;89
BENNETT Sam;Jelle;6;68
HAUSSLER Heinrich;EnGCatjuh;7;88
GAUDU David;Rellende Rotscholier;5;63
FUGLSANG Jakob;El Capitano;6;73
GARCIA CORTINA Ivan;El Presidente;5;54
HOFSTETTER Hugo;ErikT;4;44
MOHORIC Matej;Darkie;2;22
PEDERSEN Mads;El Capitano;4;47
VAN POPPEL Danny;Tjeuke;6;72
ARANBURU Alex;Darkie;4;48
VAN ASBROECK Tom;ErikT;8;96
STANNARD Robert;EnGCatjuh;10;121
DEMARE Arnaud;EnGCatjuh;8;95
VAN DER SANDE Tosh;Vishandel Makaay;5;59
BETTIOL Alberto;methodmich;1;4
VALGREN Michael;Jelle;3;37
VERMEERSCH Gianni;Rellende Rotscholier;3;38
HALLER Marco;El Presidente;7;80
KRAGH ANDERSEN Soren;Jelle;4;42
BALLERINI Davide;El Presidente;6;77
MERLIER Tim;crispy;5;55
GOGL Michael;Rellende Rotscholier;7;90
YATES Adam;EnGCatjuh;9;114
