Rugnummer;Naam;Positie;Link;SW_Naam;SW_ID;Team;Naam_fix
2.0;B. van Polen;V;/players/bram-van-polen/2145/;bram-van-polen;2145;PEC Zwolle;B. van Polen
25.0;K. Vermeer;K;/players/kenneth-vermeer/2175/;kenneth-vermeer;2175;PEC Zwolle;K. Vermeer
;J. de Guzmán;M;/players/jonathan-alexander-de-guzman/2259/;jonathan-alexander-de-guzman;2259;Sparta Rotterdam;J. de Guzman
24.0;B. Waterman;K;/players/boy-waterman/2295/;boy-waterman;2295;PSV;B. Waterman
22.0;P. Tytoń;K;/players/przemyslaw-tyton/17326/;przemyslaw-tyton;17326;FC Twente;P. Tyton
22.0;E. Mulder;K;/players/erwin-mulder/17330/;erwin-mulder;17330;Go Ahead Eagles;E. Mulder
20.0;L. Schöne;M;/players/lasse-schone/17366/;lasse-schone;17366;NEC;L. Schone
33.0;D. Siovas;V;/players/dimitrios-siovas/18804/;dimitrios-siovas;18804;Fortuna Sittard;D. Siovas
29.0;M. Kramer;A;/players/michiel-kramer/19677/;michiel-kramer;19677;RKC Waalwijk;M. Kramer
27.0;R. van La Parra;M;/players/rajiv-van-la-parra/39283/;rajiv-van-la-parra;39283;Almere City FC;R. van La Parra
22.0;R. Pasveer;K;/players/remko-pasveer/49689/;remko-pasveer;49689;Ajax;R. Pasveer
5.0;B. van Hintum;V;/players/bart-van-hintum/49847/;bart-van-hintum;49847;PEC Zwolle;B. van Hintum
28.0;A. Meijers;V;/players/aaron-meijers/59081/;aaron-meijers;59081;RKC Waalwijk;A. Meijers
9.0;R. van Wolfswinkel;A;/players/ricky-van-wolfswinkel/59407/;ricky-van-wolfswinkel;59407;FC Twente;R. van Wolfswinkel
12.0;B. Dost;A;/players/bas-dost/59418/;bas-dost;59418;NEC;B. Dost
1.0;E. Room;K;/players/eloy-room/64680/;eloy-room;64680;Vitesse;E. Room
9.0;L. de Jong;A;/players/luuk-de-jong/65056/;luuk-de-jong;65056;PSV;L. de Jong
18.0;M. Vejinović;M;/players/marko-vejinovic/66278/;marko-vejinovic;66278;Heracles Almelo;M. Vejinovic
8.0;D. Post;M;/players/danny-post/66351/;danny-post;66351;Almere City FC;D. Post
14.0;A. Vellios;A;/players/-vellios/77882/;-vellios;77882;PEC Zwolle;A. Vellios
24.0;N. Viergever;V;/players/nick--viergever/78529/;nick--viergever;78529;FC Utrecht;N. Viergever
1.0;L. Unnerstall;K;/players/lars-unnerstall/81320/;lars-unnerstall;81320;FC Twente;L. Unnerstall
24.0;D. Pröpper;M;/players/davy-propper/86220/;davy-propper;86220;Vitesse;D. Propper
17.0;B. Nuytinck;V;/players/bram-nuytinck/86442/;bram-nuytinck;86442;NEC;B. Nuytinck
12.0;Ivo Pinto;V;/players/ivo-pinto/86672/;ivo-pinto;86672;Fortuna Sittard;Ivo Pinto
31.0;K. Lamprou;K;/players/kostas-lamprou/88114/;kostas-lamprou;88114;Feyenoord;K. Lamprou
