Speler;Link;Datum;Speelronde;P_Gespeeld;P_Gewonnen;P_Gelijk;P_Verloren;P_Kaart_Geel;P_Kaart_Rood;P_Doelpunt;P_Assist;P_Tegendoelpunt;P_Eigen_Doelpunt;P_Clean_Sheet;P_Penalty_Gescoord;P_Penalty_Gemist;P_Penalty_Gestopt;P_Totaal
E. Vaessen;/players/etienne-vaessen/408572/;2024-08-09;1;3.0;2.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;4.0
M. Peersman;/players/marvin-peersman/89988/;2024-08-09;1;1.5333333333333332;1.0222222222222221;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;2.5555555555555554
M. Rente;/players/marco-rente/450717/;2024-08-09;1;3.0;2.0;0.0;0.0;-0.0;-0.0;12.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;16.0
F. Stam;/players/finn-stam/736439/;2024-08-09;1;2.7333333333333334;1.8222222222222222;0.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;3.5555555555555554
L. Bacuna;/players/leandro-bacuna/88003/;2024-08-09;1;3.0;2.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;3.0;-0.0;0.0;8.0
J. Hove;/players/johan-hove/444353/;2024-08-09;1;3.0;2.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;5.0
T. de Jonge;/players/tika-de-jonge/643975/;2024-08-09;1;2.3666666666666667;1.5777777777777777;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;3.9444444444444446
L. Valente;/players/luciano-valente/703884/;2024-08-09;1;2.1333333333333333;1.4222222222222223;0.0;0.0;-0.0;-0.0;0.0;5.0;0.0;-0.0;0.0;0.0;-0.0;0.0;8.555555555555555
J. Schreuders;/players/jorg-schreuders/877779/;2024-08-09;1;3.0;2.0;0.0;0.0;-2.0;-0.0;9.0;5.0;0.0;-0.0;0.0;0.0;-0.0;0.0;17.0
Rui Mendes;/players/rui-jorge-monteiro-mendes/453390/;2024-08-09;1;3.0;2.0;0.0;0.0;-0.0;-0.0;8.0;4.0;0.0;-0.0;0.0;0.0;-0.0;0.0;17.0
T. van Bergen;/players/thom-van-bergen/873104/;2024-08-09;1;2.3666666666666667;1.5777777777777777;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;3.9444444444444446
S. Bouland;/players/sven-bouland/948734/;2024-08-09;1;1.4666666666666666;0.9777777777777777;0.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;1.4444444444444442
B. Willumsson;/players/brynjolfur-darri-willumsson/463548/;2024-08-09;1;0.8666666666666666;0.5777777777777777;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;1.4444444444444442
Laros Duarte;/players/laros-duarte/407735/;2024-08-09;1;0.6333333333333333;0.4222222222222222;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;1.0555555555555556
T. Oosting;/players/thijs-oosting/477591/;2024-08-09;1;0.6333333333333333;0.4222222222222222;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;1.0555555555555556
J. Pelupessy;/players/joey-pelupessy/197572/;2024-08-09;1;0.26666666666666666;0.17777777777777778;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.4444444444444444
N. Emeran;/players/noam-emeran/671004/;2024-08-09;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
M. Speelman;/players/marco-speelman/981985/;2024-08-09;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
D. Baron;/players/dirk-baron/821647/;2024-08-09;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
H. Jurjus;/players/hidde-jurjus/301076/;2024-08-09;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
N. Eggens;/players/nils-eggens/946067/;2024-08-09;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
F. Turay;/players/fofin-turay/909656/;2024-08-09;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
R. Leicester;/players/roy-leicester/946352/;2024-08-09;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
D. Bielica;/players/daniel-bielica/555492/;2024-08-09;1;3.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-4.0;-0.0;0.0;0.0;-0.0;0.0;-1.0
E. Mahmutović;/players/enes-mahmutovic/347775/;2024-08-09;1;3.0;0.0;0.0;0.0;-0.0;-8.0;0.0;0.0;-4.0;-0.0;0.0;0.0;-0.0;0.0;-9.0
J. Van den Bergh;/players/jan-van-den-bergh/354185/;2024-08-09;1;3.0;0.0;0.0;0.0;-2.0;-0.0;0.0;0.0;-4.0;-0.0;0.0;0.0;-0.0;0.0;-3.0
Manel Royo;/players/manel-royo-castell/354951/;2024-08-09;1;3.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-4.0;-0.0;0.0;0.0;-0.0;0.0;-1.0
L. Greiml;/players/leo-greiml/517683/;2024-08-09;1;3.0;0.0;0.0;0.0;-2.0;-0.0;0.0;0.0;-4.0;-0.0;0.0;0.0;-0.0;0.0;-3.0
D. Janošek;/players/dominik-janosek/492661/;2024-08-09;1;2.833333333333333;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;3.0;-0.0;0.0;5.833333333333333
C. Staring;/players/casper-staring/628494/;2024-08-09;1;2.5;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;2.5
M. Balard;/players/maximilien-balard/643695/;2024-08-09;1;3.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;3.0
E. Ómarsson;/players/elias-mar-omarsson/213035/;2024-08-09;1;2.833333333333333;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;2.833333333333333
K. Kostorz;/players/kacper-kostorz/485378/;2024-08-09;1;2.5;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;2.5
R. Kuijpers;/players/roy-kuijpers/663306/;2024-08-09;1;0.4;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.4
M. Koscelník;/players/martin-koscelnik/353345/;2024-08-09;1;2.6;0.0;0.0;0.0;-2.0;-0.0;0.0;0.0;-3.0;-0.0;0.0;0.0;-0.0;0.0;-2.4
F. Oldrup Jensen;/players/fredrik-oldrup-jensen/231672/;2024-08-09;1;0.5;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.5
Saná Fernandes;/players/sana-fernandes/926017/;2024-08-09;1;0.5;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.5
A. Kaied;/players/adam-kaied/693342/;2024-08-09;1;0.16666666666666666;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.16666666666666666
M. Garbett;/players/matthew-garbett/577465/;2024-08-09;1;0.16666666666666666;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.16666666666666666
R. Kortsmit;/players/roy-kortsmit/200996/;2024-08-09;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
L. Mol;/players/lars-mol/923583/;2024-08-09;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
